projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
commons-io;PathFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/PathFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/PathFileComparator.java;JUnit5;58;2;Magic Number Test;testCaseSensitivity;53;53
commons-io;PathFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/PathFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/PathFileComparator.java;JUnit5;58;2;Magic Number Test;testCaseSensitivity;54;54
commons-io;PathFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/PathFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/PathFileComparator.java;JUnit5;58;2;Magic Number Test;testCaseSensitivity;55;55
commons-io;PathFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/PathFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/PathFileComparator.java;JUnit5;58;2;Magic Number Test;testCaseSensitivity;56;56
commons-io;PathFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/PathFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/PathFileComparator.java;JUnit5;58;2;Verbose Test;testCaseSensitivity;44-57;44-57
commons-io;PathFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/PathFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/PathFileComparator.java;JUnit5;58;2;Lazy Test;testCaseSensitivity; , 48-48 , 49-49 , 50-50 , 53-53 , 54-54 , 55-55 , 56-56; , 48-48 , 49-49 , 50-50 , 53-53 , 54-54 , 55-55 , 56-56
commons-io;PathFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/PathFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/PathFileComparator.java;JUnit5;58;2;Mystery Guest;testCaseSensitivity;46;46
commons-io;SizeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/SizeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/SizeFileComparator.java;JUnit5;102;7;Resource Optimism;setUp;42-81;42-81
commons-io;SizeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/SizeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/SizeFileComparator.java;JUnit5;102;7;Resource Optimism;testNonexistantFile;86-91;86-91
commons-io;SizeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/SizeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/SizeFileComparator.java;JUnit5;102;7;Magic Number Test;testNonexistantFile;90;90
