projectName,name,pathFile,productionFile,junitVersion,loc,qtdMethods,testSmellName,testSmellMethod,testSmellLine,testSmellLineBegin,testSmellLineEnd
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Lazy Test,copy_inputStreamToWriterWithEncoding,null,null,null
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Lazy Test,testCopy_readerToOutputStream,null,null,null
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Lazy Test,copy_readerToWriter,null,null,null
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Lazy Test,copy_stringToOutputStream,null,null,null
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Lazy Test,copy_stringToWriter,null,null,null
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Duplicate Assert,copy_readerToWriter,165,165,181
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Assertion Roulette,testCopy_inputStreamToOutputStream,99,99,114
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Exception Catching Throwing,copy_byteArrayToOutputStream,66,66,75
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Exception Catching Throwing,copy_byteArrayToWriter,77,77,88
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Exception Catching Throwing,testCopy_byteArrayToWriterWithEncoding,90,90,97
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Exception Catching Throwing,testCopy_inputStreamToOutputStream,99,99,114
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Exception Catching Throwing,copy_inputStreamToWriter,116,116,132
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Exception Catching Throwing,copy_inputStreamToWriterWithEncoding,134,134,141
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Exception Catching Throwing,testCopy_readerToOutputStream,143,143,163
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Exception Catching Throwing,copy_readerToWriter,165,165,181
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Exception Catching Throwing,copy_stringToOutputStream,183,183,200
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Exception Catching Throwing,copy_stringToWriter,202,202,215
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Unknown Test,testCtor,34,34,38
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Magic Number Test,testSwapInteger,59,59,68
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Magic Number Test,testSwapLong,70,70,76
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Magic Number Test,testSwapFloat,78,78,84
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Magic Number Test,testSwapDouble,86,86,92
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Magic Number Test,testSymmetry,98,98,107
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Magic Number Test,testReadSwappedShort,109,109,116
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Magic Number Test,testReadSwappedUnsignedShort,132,132,139
commons-io,EndianUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\EndianUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,JUnit5,316,22,Magic Number Test,testReadSwappedInteger,141,141,148
